[0/501] 0초 0/100 pos:0m, v:0m/s, Ek:0.0, p:0N
[97/501] 0초 97/100 pos:4.752999999999996m, v:9.699999999999982m/s, Ek:47.044999999999824, p:9.699999999999982N
[98/501] 0초 98/100 pos:4.8509999999999955m, v:9.799999999999981m/s, Ek:48.01999999999982, p:9.799999999999981N
[99/501] 0초 99/100 pos:4.949999999999996m, v:9.89999999999998m/s, Ek:49.00499999999981, p:9.89999999999998N
[100/501] 1초 0/100 pos:5.049999999999995m, v:9.99999999999998m/s, Ek:49.99999999999981, p:9.99999999999998N
[101/501] 1초 1/100 pos:5.147999999999995m, v:9.799999999999981m/s, Ek:48.01999999999982, p:9.799999999999981N
[102/501] 1초 2/100 pos:5.243999999999995m, v:9.599999999999982m/s, Ek:46.07999999999983, p:9.599999999999982N
[103/501] 1초 3/100 pos:5.337999999999995m, v:9.399999999999983m/s, Ek:44.179999999999836, p:9.399999999999983N
[104/501] 1초 4/100 pos:5.429999999999994m, v:9.199999999999983m/s, Ek:42.319999999999844, p:9.199999999999983N
[105/501] 1초 5/100 pos:5.519999999999994m, v:8.999999999999984m/s, Ek:40.49999999999986, p:8.999999999999984N
[106/501] 1초 6/100 pos:5.607999999999994m, v:8.799999999999985m/s, Ek:38.719999999999864, p:8.799999999999985N
[107/501] 1초 7/100 pos:5.693999999999994m, v:8.599999999999985m/s, Ek:36.979999999999876, p:8.599999999999985N
[108/501] 1초 8/100 pos:5.777999999999993m, v:8.399999999999986m/s, Ek:35.27999999999988, p:8.399999999999986N
[109/501] 1초 9/100 pos:5.859999999999993m, v:8.199999999999987m/s, Ek:33.61999999999989, p:8.199999999999987N
[110/501] 1초 10/100 pos:5.939999999999993m, v:7.999999999999987m/s, Ek:31.999999999999893, p:7.999999999999987N
[111/501] 1초 11/100 pos:6.017999999999994m, v:7.7999999999999865m/s, Ek:30.419999999999895, p:7.7999999999999865N
[112/501] 1초 12/100 pos:6.093999999999993m, v:7.599999999999986m/s, Ek:28.879999999999896, p:7.599999999999986N
[113/501] 1초 13/100 pos:6.167999999999993m, v:7.399999999999986m/s, Ek:27.379999999999896, p:7.399999999999986N
[114/501] 1초 14/100 pos:6.239999999999993m, v:7.199999999999986m/s, Ek:25.9199999999999, p:7.199999999999986N
[115/501] 1초 15/100 pos:6.309999999999993m, v:6.999999999999986m/s, Ek:24.4999999999999, p:6.999999999999986N
[116/501] 1초 16/100 pos:6.377999999999993m, v:6.799999999999986m/s, Ek:23.1199999999999, p:6.799999999999986N
